evidence_id,control_id,control_description,system_source,collection_method,time_to_collect_hours,collector,status,notes
EV-001,SOX-01,User access review — NetSuite,Lumos,api_export,1.5,Jessica Park,collected,Exported Lumos review campaign for NetSuite. 47 users reviewed. 3 revocations.
EV-002,SOX-01,User access review — Coupa,Lumos,api_export,1.5,Jessica Park,collected,Coupa review campaign. 31 users. 1 revocation (departed contractor).
EV-003,SOX-01,User access review — Anaplan,Lumos,api_export,1.0,Jessica Park,collected,Anaplan review. 12 users. All approved. Small user population.
EV-004,SOX-01,User access review — Snowflake,Lumos,manual_spreadsheet,3.5,Jessica Park,collected,Lumos campaign covered Okta-provisioned users. Had to manually cross-reference 8 direct Snowflake accounts not managed through Okta. Very time-consuming.
EV-005,SOX-02,Privileged access review — Okta admins,Okta,api_export,1.0,Mark Williams,collected,Exported admin role list from Okta admin console. 14 admin accounts. All justified.
EV-006,SOX-02,Privileged access review — NetSuite admins,NetSuite,manual_screenshot,2.0,Mark Williams,collected,NetSuite admin console doesn't have a clean export. Screenshots of admin user list with role details. 6 admins.
EV-007,SOX-02,Privileged access review — GitHub org owners,GitHub,manual_screenshot,1.5,Mark Williams,collected,Exported org owner list from GitHub Enterprise settings. 8 org owners. 1 flagged as no longer needing owner access — downgraded.
EV-008,SOX-02,Privileged access review — AWS IAM,AWS,manual_spreadsheet,4.0,Mark Williams,overdue,Had to manually audit IAM users across 3 AWS accounts. No automated tooling. Incomplete — root account review not documented. Became audit finding.
EV-009,SOX-03,Change management — production deploys,GitHub,manual_screenshot,6.0,Alex Chen,collected,Sampled 25 production PRs. For each: screenshot of Jira ticket showing approval + screenshot of GitHub showing PR review + merge. 50 screenshots total. Extremely tedious.
EV-010,SOX-03,Change management — NetSuite customizations,NetSuite,manual_screenshot,3.0,Alex Chen,collected,NetSuite customization log doesn't export cleanly. Screenshots of 10 customization changes with associated approval tickets.
EV-011,SOX-04,Separation of duties — NetSuite,NetSuite,manual_spreadsheet,4.0,Diana Foster,collected,Exported all NetSuite role assignments. Manually verified no user has both entry and approval permissions. Built matrix in spreadsheet. 89 users checked.
EV-012,SOX-04,Separation of duties — Coupa,Coupa,manual_spreadsheet,2.5,Diana Foster,collected,Coupa approval chain export. Verified separation between requisitioners and approvers. 45 users checked.
EV-013,SOX-04,Separation of duties — test evidence,NetSuite,manual_screenshot,1.5,Diana Foster,collected,Ran SoD test: logged in as entry-only user and attempted to approve a PO. System correctly blocked. Screenshots of attempt and error.
EV-014,SOX-05,Termination access removal — Q4 terminations,Okta,manual_spreadsheet,5.0,Jessica Park,collected,Cross-referenced 18 terminations from Workday against Okta disable timestamps. 16 within 24-hour SLA. 2 exceeded SLA (GitHub issue — see Finding 2).
EV-015,SOX-05,Termination access removal — GitHub verification,GitHub,manual_screenshot,3.0,Jessica Park,exception,Found 2 terminated employees with active GitHub access during collection. This became Finding 2. Evidence collected but documents the failure.
EV-016,SOX-06,New access provisioning — SOX systems,Freshworks,manual_spreadsheet,4.5,Jessica Park,collected,Pulled all SOX system provisioning tickets from Freshworks. Matched to Lumos approval records. 23 provisioning events. 21 had complete dual approval. 2 had manager-only approval (flagged for remediation).
EV-017,SOX-06,New access provisioning — approval evidence,Lumos,api_export,2.0,Jessica Park,collected,Lumos approval workflow exports for all SOX provisioning events. Timestamped approval chains.
EV-018,SOX-07,Financial close — monthly reconciliation,Google Drive,manual_screenshot,2.0,Robert Kim,collected,Pulled reconciliation PDFs from Finance team Drive folder. 3 months of reconciliation reports with reviewer signatures.
EV-019,SOX-07,Financial close — review sign-offs,Google Drive,manual_screenshot,1.5,Robert Kim,collected,Screenshots of Drive file metadata showing upload dates and last-modified timestamps to prove timeliness.
EV-020,PCI-01,Network segmentation — VPC config,AWS,manual_screenshot,3.0,Mark Williams,collected,Screenshots of VPC configurations for CDE account. Security group rules exported as JSON. 4 VPCs documented.
EV-021,PCI-01,Network segmentation — pen test report,External vendor,manual_screenshot,0.5,Mark Williams,collected,Annual pen test PDF from vendor. No screenshots needed — just filed the report. Easy one.
EV-022,PCI-02,Encryption at rest — RDS instances,AWS,manual_screenshot,3.5,Alex Chen,collected,Screenshotted encryption settings for all 12 RDS instances across 3 AWS accounts. One per screenshot. Tedious but straightforward.
EV-023,PCI-02,Encryption at rest — S3 buckets,AWS,manual_screenshot,4.0,Alex Chen,collected,67 S3 buckets across 3 accounts. Scripted a partial export using AWS CLI but had to manually verify 15 buckets with non-standard encryption settings.
EV-024,PCI-02,Encryption at rest — EBS volumes,AWS,manual_screenshot,2.5,Alex Chen,collected,EBS volume encryption status exported via AWS CLI. 140 volumes. All encrypted. CLI output serves as evidence.
EV-025,PCI-03,Vulnerability scanning — quarterly scan,Qualys,api_export,1.0,Mark Williams,collected,Qualys scan report export. PDF format. 3 critical and 7 high findings identified.
EV-026,PCI-03,Vulnerability scanning — remediation evidence,Jira,manual_screenshot,3.5,Mark Williams,collected,Matched 10 critical/high Qualys findings to Jira remediation tickets. Screenshots of ticket showing fix and deployment evidence. 3 findings still open at time of audit.
EV-027,PCI-04,CDE access review — AWS IAM,AWS,manual_spreadsheet,3.0,Mark Williams,collected,Exported IAM users with access to CDE resources across 2 AWS accounts. 9 users. Business justification documented manually in spreadsheet.
EV-028,PCI-04,CDE access review — Stripe users,Stripe,manual_screenshot,1.5,Mark Williams,collected,Stripe dashboard user list. 7 users with access. Screenshots of each user's role and last login.
EV-029,PCI-04,CDE access review — payment systems,Okta,api_export,1.0,Mark Williams,collected,Okta app assignment list for payment-related applications. Cross-referenced with Stripe user list.
EV-030,PCI-05,Security logging — CloudTrail config,AWS,manual_screenshot,2.0,Alex Chen,collected,CloudTrail configuration screenshots for CDE accounts. Multi-region trail enabled. S3 bucket destination confirmed.
EV-031,PCI-05,Security logging — alert rules,AWS,manual_screenshot,2.5,Alex Chen,collected,CloudWatch alert rules for CDE account. Screenshots of 14 alert configurations. Sample of 5 triggered alerts with response documentation.
EV-032,PCI-05,Security logging — log retention,AWS,manual_screenshot,1.0,Alex Chen,collected,S3 lifecycle policy screenshot showing 12-month retention. CloudWatch log group retention settings confirmed.
EV-033,GIT-01,Backup verification — RDS backups,AWS,manual_screenshot,1.5,Alex Chen,collected,RDS automated backup configuration screenshots. All 12 instances have daily backups enabled with 35-day retention.
EV-034,GIT-01,Backup verification — monthly restore test,Confluence,manual_screenshot,2.0,Alex Chen,collected,Confluence pages documenting monthly restore tests. 3 months of test results. All successful. Screenshots of Confluence pages with timestamps.
EV-035,GIT-01,Backup verification — S3 replication,AWS,manual_screenshot,1.5,Alex Chen,collected,S3 cross-region replication configuration for critical buckets. 8 buckets with replication rules documented.
EV-036,GIT-02,Endpoint protection — Kandji compliance,Kandji,api_export,1.5,Jessica Park,collected,Kandji compliance dashboard export. 312 macOS devices. 98.7% compliant. 4 non-compliant devices identified and remediation in progress.
EV-037,GIT-02,Endpoint protection — Automox compliance,Automox,api_export,1.0,Jessica Park,collected,Automox compliance report for FC Windows devices. 87 devices. 97.7% compliant. 2 non-compliant stations awaiting reimage.
EV-038,GIT-02,Endpoint protection — CrowdStrike coverage,CrowdStrike,manual_screenshot,2.0,Mark Williams,collected,CrowdStrike coverage report. Screenshots of deployment status. 399 endpoints covered. Coverage aligns with Kandji + Automox device counts.
EV-039,GIT-03,Incident response — tabletop exercise,Internal,manual_screenshot,1.0,Mark Williams,collected,Annual tabletop exercise conducted November 2025. Report in Google Docs. Exported as PDF. 12 participants. 4 action items identified.
EV-040,SOX-02,Privileged access review — Snowflake admins,Snowflake,manual_screenshot,2.5,Mark Williams,pending,Snowflake admin user list partially collected. Account admin roles documented. Need to verify service account ownership. Waiting on data engineering team response.
