ticket_id,created_date,reason_for_contact,sub_reason,member_message,resolution_status,channel,CSAT_score,handle_time_minutes,agent_name
TKT-4401,2026-04-07,Product Quality,Frozen items thawed,"My frozen açaí bowls arrived completely thawed and leaking all over the box. This is the first time I've ordered frozen from Thrive and I'm really disappointed.",resolved,chat,2,7,Sarah Chen
TKT-4402,2026-04-07,Product Quality,Frozen items thawed,"Just got my delivery and the frozen broccoli and frozen berries are both soft and partially thawed. The dry ice was completely gone.",resolved,email,3,5,Mei Lin Tan
TKT-4403,2026-04-07,Shipping,Late delivery,"My order was supposed to arrive Monday and it's now Wednesday. Tracking just says 'in transit' with no updates since Sunday.",open,chat,3,8,Marcus Rivera
TKT-4404,2026-04-07,Billing,Promo code not working,"I'm trying to use THRIVEMORE at checkout for the frozen food discount but it keeps saying 'invalid code'. I copied it exactly from the email you sent me.",resolved,chat,3,9,David Thompson
TKT-4405,2026-04-07,Product Quality,Frozen items thawed,"Ordered frozen salmon fillets and they arrived warm to the touch. Not just thawed — warm. I can't feed this to my family. What is going on with your frozen shipping?",resolved,phone,1,11,Carmen Reyes
TKT-4406,2026-04-07,Membership,Auto-renewal surprise,"I was just charged $60 for an annual membership I forgot I even had. I haven't ordered anything in 4 months. Can I get a refund?",resolved,chat,4,6,Ashley Nguyen
TKT-4407,2026-04-08,Product Quality,Frozen items thawed,"All three frozen pizzas I ordered were thawed and the boxes were soggy. The ice packs in the box were room temperature. This is unacceptable.",resolved,chat,2,7,Tyler Brooks
TKT-4408,2026-04-08,Billing,Promo code not working,"THRIVEMORE code won't work for me. I have it in my cart with frozen items and it says the code doesn't exist. I've been a member since 2022.",resolved,chat,2,10,Sarah Chen
TKT-4409,2026-04-08,Shipping,Damaged in transit,"My jar of coconut oil arrived shattered. Glass everywhere, oil all over my other items. The box had no padding.",resolved,email,3,5,Grace Villanueva
TKT-4410,2026-04-08,Product Quality,Frozen items thawed,"Frozen veggie burgers completely defrosted on arrival. Packaging was warm. I'm in California — is this a West Coast issue?",resolved,phone,2,8,Carlos Herrera
TKT-4411,2026-04-08,Membership,Auto-renewal surprise,"Why was I charged $12 this morning? I thought I cancelled my membership last month. I definitely clicked something to cancel.",open,chat,2,12,Priya Patel
TKT-4412,2026-04-08,Billing,Promo code not working,"Trying to apply the SPRING25 code but it says I'm not eligible. This is literally my first order ever. I signed up because of this promo.",resolved,chat,4,6,Marcus Rivera
TKT-4413,2026-04-08,Returns,Return process unclear,"I received the wrong protein powder flavor. Do I need to ship it back? I already opened it because I didn't realize until I used it.",resolved,email,4,4,Sofia Ramirez
TKT-4414,2026-04-08,Website Bug,Checkout error,"I keep getting an error when I click Place Order. Tried three times. My cart has 8 items and I've been trying for 20 minutes now.",resolved,chat,2,14,Jennifer Park
TKT-4415,2026-04-09,Product Quality,Frozen items thawed,"My frozen mango chunks were completely liquid inside the bag. There was barely any dry ice in the shipment. I ordered 5 frozen items and ALL of them were compromised.",resolved,chat,1,9,Tyler Brooks
TKT-4416,2026-04-09,Billing,Promo code not working,"The THRIVEMORE code that's supposedly 15% off frozen — not working. I created my account in 2023 if that matters. Super frustrating.",resolved,chat,3,8,David Thompson
TKT-4417,2026-04-09,Shipping,Late delivery,"Order placed 8 days ago, still showing processing. I ordered perishable items. Are they just sitting in a warehouse going bad?",open,phone,1,10,Isabella Moreno
TKT-4418,2026-04-09,Product Quality,Frozen items thawed,"Frozen ice cream arrived as a milkshake. Literally liquid. The box was warm when I picked it up from my porch.",resolved,email,2,5,Ana Reyes
TKT-4419,2026-04-09,Membership,Cancellation request,"I want to cancel my membership. I've been a member for 2 years but the product selection hasn't improved for my dietary needs (low FODMAP).",resolved,phone,4,14,Sarah Chen
TKT-4420,2026-04-09,Returns,Refund timing,"I submitted a return 10 days ago and still haven't gotten my refund. You said 3-5 business days. It's been 10.",open,chat,2,7,Marcus Rivera
TKT-4421,2026-04-09,Website Bug,Checkout error,"Place Order button isn't doing anything when I click it. No error message, just nothing happens. Using Chrome on my Mac.",resolved,chat,3,11,Jennifer Park
TKT-4422,2026-04-09,Billing,Promo code not working,"I got an email saying use code FREESHIP for free shipping on orders over $49. My cart is $67 but it's still charging me $5.95 for shipping. The code field says it was applied successfully but the shipping charge is still there.",resolved,chat,3,9,Priya Patel
TKT-4423,2026-04-09,Product Quality,Spoiled item,"Received organic milk that expires tomorrow. My delivery was already delayed 3 days. So by the time I got it the milk is basically expired.",resolved,email,3,5,Kevin Santos
TKT-4424,2026-04-10,Product Quality,Frozen items thawed,"Fourth order with frozen items, first time they arrived thawed. I'm in Oregon. Everything was soft and refrozen texture. Not safe to eat.",resolved,chat,3,7,Ashley Nguyen
TKT-4425,2026-04-10,Billing,Promo code not working,"THRIVEMORE isn't working and neither is SPRING25. I want to use at least ONE promo code. My account was created in Jan 2023.",resolved,chat,2,10,Tyler Brooks
TKT-4426,2026-04-10,Shipping,Package not received,"Tracking says delivered yesterday at 2:14 PM but I was home all day and nothing was delivered. I checked with my neighbors too.",resolved,phone,3,9,Carlos Herrera
TKT-4427,2026-04-10,Membership,Auto-renewal surprise,"Just noticed a $60 charge on my credit card from Thrive Market. I signed up for a free trial A YEAR AGO and forgot about it. I never ordered anything.",resolved,chat,2,8,Grace Villanueva
TKT-4428,2026-04-10,Product Quality,Frozen items thawed,"My frozen blueberries and frozen cauliflower rice were both thawed. The gel packs were warm. I'm starting to think Thrive can't handle frozen shipping.",resolved,email,2,5,Mei Lin Tan
TKT-4429,2026-04-10,Website Bug,Checkout error,"Getting a white screen when I try to go to checkout. Cart page works fine but clicking checkout just goes blank. Tried on my phone too — same thing.",open,chat,1,15,Jennifer Park
TKT-4430,2026-04-10,Other,Account access,"I can't log into my account. Reset password link isn't arriving in my email. I've checked spam. It's been 30 minutes.",resolved,chat,4,6,David Thompson
TKT-4431,2026-04-10,Billing,Duplicate charge,"I was charged twice for the same order — $87.42 on April 8 and again on April 9. Same amount, same card.",resolved,phone,3,10,Isabella Moreno
TKT-4432,2026-04-10,Shipping,Late delivery,"My order with frozen items shipped on Monday (ships Mon-Wed for frozen right?) but it's Thursday and FedEx says it won't arrive until Saturday. That's 5 days for frozen food.",open,chat,2,8,Marcus Rivera
TKT-4433,2026-04-11,Product Quality,Frozen items thawed,"This is my SECOND order in two weeks where frozen items arrived thawed. Last time I got a refund but I actually want the food, not refunds. Fix your cold chain.",resolved,chat,1,9,Sarah Chen
TKT-4434,2026-04-11,Billing,Promo code not working,"I have three promo codes and none of them work. THRIVEMORE — invalid. SPRING25 — not eligible. FREESHIP — applied but still charging shipping. What is going on?",resolved,chat,2,12,Priya Patel
TKT-4435,2026-04-11,Membership,Billing confusion,"I'm being charged $12/month but I thought I signed up for the $60/year plan. That's $144/year vs $60. Can you switch me and refund the difference?",resolved,phone,3,11,Carmen Reyes
TKT-4436,2026-04-11,Product Quality,Frozen items thawed,"Frozen edamame thawed. Frozen waffles thawed. Literally everything frozen in my order was ruined. I'm in Washington state.",resolved,email,2,5,Jose Garcia
TKT-4437,2026-04-11,Returns,Return label issue,"I need to return some supplements but the return label link in my email gives a 404 error. Dead link.",resolved,chat,4,5,Tyler Brooks
TKT-4438,2026-04-11,Shipping,Wrong address,"I just placed an order but realized I put my old address. It still says Processing — can you change it to my new address?",resolved,chat,5,4,Ashley Nguyen
TKT-4439,2026-04-11,Billing,Promo code not working,"The THRIVEMORE code gives me an error that says 'code not recognized' but I'm looking at the promotional email from Thrive right now that says to use it.",resolved,email,3,6,Kevin Santos
TKT-4440,2026-04-11,Membership,Auto-renewal surprise,"I got charged $60 and the renewal email only came 3 days before the charge. That's not enough notice. I would have cancelled if I'd had time to think about it.",resolved,chat,2,9,Marcus Rivera
TKT-4441,2026-04-11,Product Quality,Damaged packaging,"Received a case of canned beans and 4 of the 6 cans are severely dented. I don't feel comfortable eating from dented cans.",resolved,email,3,5,Sofia Ramirez
TKT-4442,2026-04-11,Website Bug,Search not working,"The search function on your website is returning zero results for everything. I've tried searching 'almonds' 'protein' 'snacks' — all show no results.",resolved,chat,3,7,Jennifer Park
TKT-4443,2026-04-12,Product Quality,Frozen items thawed,"I just received my order and every single frozen item is thawed. This is ridiculous. I ordered $45 worth of frozen food and it's all garbage now. I want a full refund AND credit for my trouble.",resolved,phone,1,13,Sarah Chen
TKT-4444,2026-04-12,Billing,Promo code not working,"Code THRIVEMORE from your email campaign isn't working for my account. I've been a member since 2021. The error says 'invalid promo code'.",resolved,chat,3,8,David Thompson
TKT-4445,2026-04-12,Shipping,Late delivery,"Ordered last Monday, still haven't received it. Customer service told me 3-7 business days but it's been 8 business days now.",open,email,2,5,Lucia Fernandez
TKT-4446,2026-04-12,Returns,Return process unclear,"I want to return some face wash that broke me out. It's been opened and used twice. Can I still return it? It's a personal care item.",resolved,chat,4,6,Tyler Brooks
TKT-4447,2026-04-12,Membership,Auto-renewal surprise,"WHY was I charged again? I've contacted you twice before about cancelling. Each time I was told it was cancelled and then I get charged again.",resolved,phone,1,15,Isabella Moreno
TKT-4448,2026-04-12,Other,Allergen concern,"I just bought your house brand granola and I need to know if it's produced in a facility that also processes tree nuts. My daughter has a severe allergy and the label just says 'may contain'.",open,email,4,6,Priya Patel
TKT-4449,2026-04-12,Product Quality,Frozen items thawed,"Frozen chicken tenders completely thawed and smell bad. I'm worried about food safety. These were supposed to stay frozen. I don't even want a replacement — I want to know this won't happen again.",resolved,chat,2,8,Carmen Reyes
TKT-4450,2026-04-12,Billing,Promo code not working,"Tried using code THRIVEMORE. Says invalid. My account email is the same one I used to sign up in 2023. I feel like long-time members are being excluded from promos.",resolved,chat,2,9,Marcus Rivera
TKT-4451,2026-04-12,Shipping,Damaged in transit,"Three glass jars broken in my order — pasta sauce, salsa, and pickles. The box was clearly dropped. Everything else in the box is covered in sauce.",resolved,email,3,6,Ana Reyes
TKT-4452,2026-04-12,Membership,Cancellation request,"I want to cancel. The prices used to be competitive but now I can find the same products cheaper at Costco. Sorry but it doesn't make financial sense anymore.",resolved,phone,4,12,Sarah Chen
TKT-4453,2026-04-13,Product Quality,Frozen items thawed,"My frozen fruit smoothie packs were thawed and leaking. The box was wet on the outside when the driver dropped it off. Whatever cold chain you're using for the West Coast is failing.",resolved,chat,2,7,Rafael Cruz
TKT-4454,2026-04-13,Billing,Promo code not working,"SPRING25 says I'm not eligible for this promotion. But I literally just created my account TODAY to use this code. Your Instagram ad says it's for new members.",resolved,chat,3,8,Ashley Nguyen
TKT-4455,2026-04-13,Shipping,Late delivery,"It's been 12 days since I ordered. I keep getting told 'it's on the way' but the tracking hasn't moved from the origin facility.",open,phone,1,10,Carlos Herrera
TKT-4456,2026-04-13,Website Bug,Checkout error,"I click 'Place Order' and the page just refreshes. Doesn't show an error, doesn't confirm the order. I've tried 5 times. My card isn't being charged at least.",open,chat,2,10,Jennifer Park
TKT-4457,2026-04-13,Membership,Auto-renewal surprise,"Got the renewal email only 3 days before being charged. That's not enough time. I opened it planning to cancel but by the time I got around to it the next day, I was already charged.",resolved,chat,2,8,Grace Villanueva
TKT-4458,2026-04-13,Product Quality,Wrong item,"Ordered almond butter, received peanut butter. My son is allergic to peanuts. This is a serious issue — what if he had eaten it without checking?",resolved,phone,1,12,Sarah Chen
TKT-4459,2026-04-13,Returns,Refund timing,"Returned items on March 28 via the prepaid label. USPS shows it was delivered to your returns center April 2. Still no refund as of today (April 13). That's 11 days since you received it.",open,email,2,5,Kevin Santos
TKT-4460,2026-04-13,Other,Subscription question,"How do I skip my next subscription delivery? I can't find the option anywhere in my account. The app and website both seem different from the instructions you emailed me.",resolved,chat,5,4,David Thompson
TKT-4461,2026-04-13,Billing,Duplicate charge,"There are two pending charges on my card for $52.18 from April 11. I only placed one order. Is one of them just a hold?",resolved,chat,4,7,Marcus Rivera
TKT-4462,2026-04-13,Product Quality,Frozen items thawed,"I'm at 3 out of my last 4 frozen orders arriving thawed. At this point I've given up on ordering frozen from Thrive. Just want a refund for this latest one.",resolved,email,2,5,Patricia Lim
TKT-4463,2026-04-14,Shipping,Late delivery,"Ordered April 3 and it's April 14. 11 days. The tracking number doesn't even work anymore — just says 'not found' when I look it up.",open,chat,1,9,Tyler Brooks
TKT-4464,2026-04-14,Billing,Promo code not working,"FREESHIP code is 'applied' according to the green checkmark but my shipping charge didn't change. Still showing $5.95. Cart total is $52 which is over the $49 minimum.",resolved,chat,3,8,Priya Patel
TKT-4465,2026-04-14,Product Quality,Frozen items thawed,"Just got my first frozen order from Thrive and everything is thawed. Frozen berries are juice. Frozen pizza is floppy. Not a great first impression for a new member.",resolved,chat,2,7,Ashley Nguyen
TKT-4466,2026-04-14,Membership,Cancellation request,"Cancelling because I moved abroad and you don't ship internationally. Can I get a pro-rated refund for the remaining 7 months of my annual membership?",resolved,email,5,4,Sofia Ramirez
TKT-4467,2026-04-14,Returns,Return label issue,"The return label you emailed me shows the wrong return address. It's going to some random warehouse in Nevada instead of your returns center.",resolved,chat,3,8,Carmen Reyes
TKT-4468,2026-04-14,Website Bug,Account page error,"My order history page is showing someone else's orders. I can see orders with a different name and address. This is a privacy issue.",open,phone,1,15,Sarah Chen
TKT-4469,2026-04-14,Product Quality,Spoiled item,"Received organic chicken broth that's past its expiration date. Best by date was March 20, 2026. My order arrived April 10.",resolved,email,3,4,Jose Garcia
TKT-4470,2026-04-14,Billing,Promo code not working,"I'm trying to stack SPRING25 and FREESHIP but when I add the second code it removes the first one. Your FAQ says promo stacking is supported now.",resolved,chat,3,9,Marcus Rivera
TKT-4471,2026-04-14,Shipping,Package not received,"Package shows delivered to my address at 11:30 AM. I have a Ring camera and there's no footage of any delivery. FedEx left it at the wrong house.",resolved,chat,3,9,David Thompson
TKT-4472,2026-04-14,Membership,Auto-renewal surprise,"I specifically remember cancelling. I went through the whole process and clicked confirm. But I just got charged $12 again. Something is broken with your cancellation system.",resolved,phone,1,13,Isabella Moreno
TKT-4473,2026-04-14,Product Quality,Frozen items thawed,"Frozen wild-caught shrimp arrived thawed and smelling fishy. I opened the bag to check and it's clearly been thawed for a while. This is a food safety issue.",resolved,chat,1,8,Carmen Reyes
TKT-4474,2026-04-14,Other,Account access,"My account shows a different email address than the one I signed up with. I didn't change it. Did someone hack my account?",open,phone,2,12,Sarah Chen
