team,week,active_users,total_seats,sessions,tokens_consumed,estimated_cost,top_use_case
Platform Engineering,2026-01-06,14,18,342,2850000,1425.00,incident investigation and runbook drafting
Platform Engineering,2026-01-13,15,18,378,3120000,1560.00,incident investigation and runbook drafting
Platform Engineering,2026-01-20,15,18,395,3280000,1640.00,alert triage automation
Platform Engineering,2026-01-27,16,18,410,3450000,1725.00,alert triage automation
Platform Engineering,2026-02-03,16,18,425,3580000,1790.00,infrastructure-as-code generation
Platform Engineering,2026-02-10,17,18,448,3720000,1860.00,infrastructure-as-code generation
Platform Engineering,2026-02-17,17,18,462,3850000,1925.00,incident investigation and runbook drafting
Platform Engineering,2026-02-24,18,18,480,4020000,2010.00,CI/CD pipeline optimization
Platform Engineering,2026-03-03,18,18,495,4150000,2075.00,infrastructure-as-code generation
Platform Engineering,2026-03-10,18,18,510,4280000,2140.00,spec-driven development
Platform Engineering,2026-03-17,18,18,528,4420000,2210.00,alert triage automation
Platform Engineering,2026-03-24,18,18,545,4580000,2290.00,incident investigation and runbook drafting
Order Platform,2026-01-06,10,15,185,1520000,760.00,code generation and refactoring
Order Platform,2026-01-13,11,15,198,1680000,840.00,code generation and refactoring
Order Platform,2026-01-20,12,15,215,1820000,910.00,code review and PR descriptions
Order Platform,2026-01-27,12,15,228,1950000,975.00,code generation and refactoring
Order Platform,2026-02-03,13,15,245,2080000,1040.00,spec-driven development
Order Platform,2026-02-10,13,15,258,2190000,1095.00,spec-driven development
Order Platform,2026-02-17,14,15,272,2320000,1160.00,code review and PR descriptions
Order Platform,2026-02-24,14,15,285,2450000,1225.00,code generation and refactoring
Order Platform,2026-03-03,14,15,298,2580000,1290.00,bug investigation
Order Platform,2026-03-10,15,15,315,2720000,1360.00,spec-driven development
Order Platform,2026-03-17,15,15,328,2850000,1425.00,code generation and refactoring
Order Platform,2026-03-24,15,15,340,2980000,1490.00,spec-driven development
Payments,2026-01-06,8,12,145,1180000,590.00,PCI compliance documentation
Payments,2026-01-13,8,12,152,1240000,620.00,code review and PR descriptions
Payments,2026-01-20,9,12,168,1380000,690.00,code generation and refactoring
Payments,2026-01-27,9,12,175,1420000,710.00,PCI compliance documentation
Payments,2026-02-03,10,12,192,1580000,790.00,code generation and refactoring
Payments,2026-02-10,10,12,198,1620000,810.00,code review and PR descriptions
Payments,2026-02-17,10,12,205,1680000,840.00,security analysis
Payments,2026-02-24,11,12,218,1790000,895.00,code generation and refactoring
Payments,2026-03-03,11,12,225,1850000,925.00,PCI compliance documentation
Payments,2026-03-10,11,12,232,1920000,960.00,code generation and refactoring
Payments,2026-03-17,12,12,248,2050000,1025.00,security analysis
Payments,2026-03-24,12,12,255,2120000,1060.00,code generation and refactoring
Product Discovery,2026-01-06,7,12,120,980000,490.00,search algorithm optimization
Product Discovery,2026-01-13,7,12,125,1020000,510.00,ML model documentation
Product Discovery,2026-01-20,8,12,138,1140000,570.00,search algorithm optimization
Product Discovery,2026-01-27,8,12,142,1180000,590.00,search algorithm optimization
Product Discovery,2026-02-03,8,12,148,1220000,610.00,data analysis and exploration
Product Discovery,2026-02-10,9,12,158,1310000,655.00,ML model documentation
Product Discovery,2026-02-17,9,12,165,1380000,690.00,search algorithm optimization
Product Discovery,2026-02-24,9,12,172,1440000,720.00,data analysis and exploration
Product Discovery,2026-03-03,10,12,185,1550000,775.00,search algorithm optimization
Product Discovery,2026-03-10,10,12,192,1620000,810.00,code generation and refactoring
Product Discovery,2026-03-17,10,12,198,1680000,840.00,ML model documentation
Product Discovery,2026-03-24,11,12,210,1780000,890.00,search algorithm optimization
Member Experience,2026-01-06,6,14,85,680000,340.00,code generation and refactoring
Member Experience,2026-01-13,6,14,88,720000,360.00,code generation and refactoring
Member Experience,2026-01-20,7,14,95,780000,390.00,API documentation
Member Experience,2026-01-27,7,14,98,810000,405.00,code generation and refactoring
Member Experience,2026-02-03,7,14,102,840000,420.00,API documentation
Member Experience,2026-02-10,7,14,105,860000,430.00,code generation and refactoring
Member Experience,2026-02-17,8,14,112,920000,460.00,bug investigation
Member Experience,2026-02-24,8,14,118,970000,485.00,code generation and refactoring
Member Experience,2026-03-03,8,14,122,1010000,505.00,API documentation
Member Experience,2026-03-10,8,14,125,1040000,520.00,code generation and refactoring
Member Experience,2026-03-17,9,14,132,1100000,550.00,bug investigation
Member Experience,2026-03-24,9,14,138,1150000,575.00,code generation and refactoring
Logistics,2026-01-06,5,10,62,480000,240.00,code generation and refactoring
Logistics,2026-01-13,5,10,65,510000,255.00,code generation and refactoring
Logistics,2026-01-20,5,10,68,540000,270.00,integration testing
Logistics,2026-01-27,5,10,70,560000,280.00,code generation and refactoring
Logistics,2026-02-03,6,10,78,620000,310.00,code generation and refactoring
Logistics,2026-02-10,6,10,82,650000,325.00,integration testing
Logistics,2026-02-17,6,10,85,680000,340.00,code generation and refactoring
Logistics,2026-02-24,6,10,88,710000,355.00,API documentation
Logistics,2026-03-03,6,10,90,730000,365.00,code generation and refactoring
Logistics,2026-03-10,7,10,98,800000,400.00,integration testing
Logistics,2026-03-17,7,10,102,840000,420.00,code generation and refactoring
Logistics,2026-03-24,7,10,108,890000,445.00,code generation and refactoring
Data Engineering,2026-01-06,8,10,148,1280000,640.00,SQL generation and optimization
Data Engineering,2026-01-13,8,10,155,1350000,675.00,pipeline debugging
Data Engineering,2026-01-20,9,10,168,1450000,725.00,SQL generation and optimization
Data Engineering,2026-01-27,9,10,175,1520000,760.00,data quality analysis
Data Engineering,2026-02-03,9,10,182,1580000,790.00,SQL generation and optimization
Data Engineering,2026-02-10,10,10,195,1680000,840.00,pipeline debugging
Data Engineering,2026-02-17,10,10,202,1750000,875.00,SQL generation and optimization
Data Engineering,2026-02-24,10,10,210,1820000,910.00,data quality analysis
Data Engineering,2026-03-03,10,10,218,1890000,945.00,SQL generation and optimization
Data Engineering,2026-03-10,10,10,225,1950000,975.00,pipeline debugging
Data Engineering,2026-03-17,10,10,232,2020000,1010.00,SQL generation and optimization
Data Engineering,2026-03-24,10,10,240,2080000,1040.00,data quality analysis
Growth,2026-01-06,4,10,42,320000,160.00,A/B test analysis
Growth,2026-01-13,4,10,45,350000,175.00,copy generation
Growth,2026-01-20,4,10,48,380000,190.00,A/B test analysis
Growth,2026-01-27,3,10,38,290000,145.00,copy generation
Growth,2026-02-03,3,10,35,270000,135.00,copy generation
Growth,2026-02-10,4,10,42,330000,165.00,A/B test analysis
Growth,2026-02-17,3,10,32,250000,125.00,copy generation
Growth,2026-02-24,3,10,30,240000,120.00,copy generation
Growth,2026-03-03,4,10,38,300000,150.00,A/B test analysis
Growth,2026-03-10,3,10,28,220000,110.00,copy generation
Growth,2026-03-17,3,10,25,200000,100.00,copy generation
Growth,2026-03-24,3,10,30,240000,120.00,A/B test analysis
Marketing,2026-01-06,2,8,18,140000,70.00,content drafting
Marketing,2026-01-13,2,8,15,120000,60.00,content drafting
Marketing,2026-01-20,3,8,22,180000,90.00,email campaign copy
Marketing,2026-01-27,2,8,16,130000,65.00,content drafting
Marketing,2026-02-03,2,8,14,110000,55.00,content drafting
Marketing,2026-02-10,1,8,8,65000,32.50,content drafting
Marketing,2026-02-17,2,8,12,95000,47.50,email campaign copy
Marketing,2026-02-24,1,8,6,48000,24.00,content drafting
Marketing,2026-03-03,2,8,10,82000,41.00,content drafting
Marketing,2026-03-10,1,8,5,40000,20.00,content drafting
Marketing,2026-03-17,1,8,4,32000,16.00,content drafting
Marketing,2026-03-24,2,8,8,65000,32.50,email campaign copy
Finance,2026-01-06,3,8,28,220000,110.00,financial modeling
Finance,2026-01-13,3,8,32,250000,125.00,report generation
Finance,2026-01-20,3,8,30,240000,120.00,financial modeling
Finance,2026-01-27,2,8,22,175000,87.50,report generation
Finance,2026-02-03,2,8,20,160000,80.00,financial modeling
Finance,2026-02-10,3,8,25,200000,100.00,report generation
Finance,2026-02-17,2,8,18,145000,72.50,financial modeling
Finance,2026-02-24,2,8,15,120000,60.00,report generation
Finance,2026-03-03,3,8,22,180000,90.00,financial modeling
Finance,2026-03-10,2,8,16,130000,65.00,report generation
Finance,2026-03-17,2,8,14,112000,56.00,financial modeling
Finance,2026-03-24,2,8,18,145000,72.50,report generation
QA Engineering,2026-01-06,4,8,52,420000,210.00,test case generation
QA Engineering,2026-01-13,4,8,55,440000,220.00,test case generation
QA Engineering,2026-01-20,5,8,65,530000,265.00,test automation scripting
QA Engineering,2026-01-27,5,8,68,550000,275.00,test case generation
QA Engineering,2026-02-03,5,8,72,580000,290.00,test automation scripting
QA Engineering,2026-02-10,5,8,75,610000,305.00,test case generation
QA Engineering,2026-02-17,6,8,82,670000,335.00,test automation scripting
QA Engineering,2026-02-24,6,8,88,720000,360.00,test case generation
QA Engineering,2026-03-03,6,8,92,750000,375.00,test automation scripting
QA Engineering,2026-03-10,6,8,95,780000,390.00,bug reproduction scripting
QA Engineering,2026-03-17,7,8,102,840000,420.00,test case generation
QA Engineering,2026-03-24,7,8,108,890000,445.00,test automation scripting
Security,2026-01-06,3,5,48,420000,210.00,vulnerability analysis
Security,2026-01-13,3,5,52,450000,225.00,policy document drafting
Security,2026-01-20,4,5,62,540000,270.00,vulnerability analysis
Security,2026-01-27,4,5,65,560000,280.00,code security review
Security,2026-02-03,4,5,68,590000,295.00,vulnerability analysis
Security,2026-02-10,4,5,72,620000,310.00,code security review
Security,2026-02-17,5,5,78,680000,340.00,incident forensics
Security,2026-02-24,5,5,82,710000,355.00,vulnerability analysis
Security,2026-03-03,5,5,85,740000,370.00,code security review
Security,2026-03-10,5,5,88,770000,385.00,vulnerability analysis
Security,2026-03-17,5,5,92,800000,400.00,incident forensics
Security,2026-03-24,5,5,95,830000,415.00,vulnerability analysis
